"ReportingCountry","Group","Vaccine brand","Week","Group population","Doses received","First dose","Second dose","Unknown dose","Refused first doses","First dose uptake (%)","Second dose uptake (%)","Unknown dose uptake (%)","Total doses","Uptake any dose (%)"
"Portugal","ALL","COM","2020-52","8578859","9750","4967","0","0","","0.1","0","0","4967","0.1"
"Portugal","ALL","COM","2020-53","8578859","50700","27872","1","0","","0.3","0.0000116565617875291","0","27873","0.3"
"Portugal","ALL","COM","2021-01","8578859","86589","42191","5","1","","0.5","0.0000582828089376454","0.0000116565617875291","42197","0.5"
"Portugal","ALL","MOD","2021-02","8578859","8400","1454","0","0","","0.0","0","0","1454","0.0"
"Portugal","ALL","COM","2021-02","8578859","95940","46170","1160","0","","0.5","0.0135216116735337","0","47330","0.6"
"Portugal","ALL","COM","2021-03","8578859","47970","118577","30029","3","","1.4","0.350034893917711","0.0000349696853625873","148609","1.7"
"Portugal","ALL","MOD","2021-03","8578859","0","1506","1","0","","0.0","0.0000116565617875291","0","1507","0.0"
"Portugal","ALL","AZ","2021-03","8578859","0","1","0","0","","0.0","0","0","1","0.0"
"Portugal","ALL","COM","2021-04","8578859","99450","40800","39434","5","","0.5","0.459664857529422","0.0000582828089376454","80239","0.9"
"Portugal","ALL","MOD","2021-04","8578859","10800","507","0","0","","0.0","0","0","507","0.0"
"Portugal","ALL","AZ","2021-05","8578859","43200","4","0","0","","0.0","0","0","4","0.0"
"Portugal","ALL","COM","2021-05","8578859","63180","12359","35556","2","","0.1","0.414460710917384","0.0000233131235750582","47917","0.6"
"Portugal","ALL","MOD","2021-05","8578859","0","6499","0","0","","0.1","0","0","6499","0.1"
"Portugal","ALL","AZ","2021-06","8578859","48000","9331","1","0","","0.1","0.0000116565617875291","0","9332","0.1"
"Portugal","ALL","COM","2021-06","8578859","87750","24874","95375","21","","0.3","1.11174458048559","0.000244787797538111","120270","1.4"
"Portugal","ALL","MOD","2021-06","8578859","22800","1505","1021","0","","0.0","0.0119013495850672","0","2526","0.0"
"Portugal","ALL","COM","2021-07","8578859","92430","46684","46746","18","","0.5","0.544897637319835","0.000209818112175524","93448","1.1"
"Portugal","ALL","MOD","2021-07","8578859","0","9465","1632","1","","0.1","0.0190235088372475","0.0000116565617875291","11098","0.1"
"Portugal","ALL","AZ","2021-07","8578859","86400","40969","5","0","","0.5","0.0000582828089376454","0","40974","0.5"
"Portugal","ALL","AZ","2021-08","8578859","0","59502","8","0","","0.7","0.0000932524943002327","0","59510","0.7"
"Portugal","ALL","COM","2021-08","8578859","107640","106943","15941","7","","1.2","0.185817251455001","0.0000815959325127036","122891","1.4"
"Portugal","ALL","MOD","2021-08","8578859","42000","3508","271","0","","0.0","0.00315892824442038","0","3779","0.0"
"Portugal","ALL","COM","2021-09","8578859","101790","74412","21177","2","","0.9","0.246851008974503","0.0000233131235750582","95591","1.1"
"Portugal","ALL","MOD","2021-09","8578859","0","20946","4879","1","","0.2","0.0568723649613544","0.0000116565617875291","25826","0.3"
"Portugal","ALL","AZ","2021-09","8578859","81600","38616","3","0","","0.5","0.0000349696853625873","0","38619","0.5"
"Portugal","Age18_24","COM","2020-52","775701","","169","0","0","","0.0","0","0","169","0.0"
"Portugal","Age18_24","COM","2020-53","775701","","1123","0","0","","0.1","0","0","1123","0.1"
"Portugal","Age18_24","COM","2021-01","775701","","1514","0","0","","0.2","0","0","1514","0.2"
"Portugal","Age18_24","MOD","2021-02","775701","","132","0","0","","0.0","0","0","132","0.0"
"Portugal","Age18_24","COM","2021-02","775701","","1235","55","0","","0.2","0.00709036084780089","0","1290","0.2"
"Portugal","Age18_24","COM","2021-03","775701","","3621","1132","0","","0.5","0.14593251781292","0","4753","0.6"
"Portugal","Age18_24","MOD","2021-03","775701","","119","0","0","","0.0","0","0","119","0.0"
"Portugal","Age18_24","COM","2021-04","775701","","1353","1353","1","","0.2","0.174422876855902","0.000128915651778198","2707","0.3"
