data_dados;confirmados;recuperados;obitos;ativos;confirmados_novos;recuperados_novos
26-12-2020 00:00;392996;316671;6556;69769;392996;316671
27-12-2020 00:00;394573;319746;6619;68208;1577;3075
28-12-2020 00:00;396666;321682;6677;68307;2093;1936
29-12-2020 00:00;400002;327794;6751;65457;3336;6112
30-12-2020 00:00;406051;331016;6830;68205;6049;3222
31-12-2020 00:00;413678;334276;6906;72496;7627;3260
01-01-2021 00:00;420629;338668;6972;74989;6951;4392
02-01-2021 00:00;423870;340150;7045;76675;3241;1482
03-01-2021 00:00;427254;342535;7118;77601;3384;2385
04-01-2021 00:00;431623;344419;7196;80008;4369;1884
05-01-2021 00:00;436579;349110;7286;80183;4956;4691
06-01-2021 00:00;446606;352225;7377;87004;10027;3115
07-01-2021 00:00;456533;355701;7472;93360;9927;3476
08-01-2021 00:00;466709;360181;7590;98938;10176;4480
09-01-2021 00:00;476187;366080;7701;102406;9478;5899
10-01-2021 00:00;483689;369108;7803;106778;7502;3028
11-01-2021 00:00;489293;372056;7925;109312;5604;2948
12-01-2021 00:00;496552;378084;8080;110388;7259;6028
13-01-2021 00:00;507108;382544;8236;116328;10556;4460
14-01-2021 00:00;517806;387607;8384;121815;10698;5063
15-01-2021 00:00;528469;394065;8543;125861;10663;6458
16-01-2021 00:00;539416;402542;8709;128165;10947;8477
17-01-2021 00:00;549801;406929;8861;134011;10385;4387
18-01-2021 00:00;556503;411589;9028;135886;6702;4660
19-01-2021 00:00;566958;421871;9246;135841;10455;10282
20-01-2021 00:00;581605;428364;9465;143776;14647;6493
21-01-2021 00:00;595149;434237;9686;151226;13544;5873
22-01-2021 00:00;609136;441556;9920;157660;13987;7319
23-01-2021 00:00;624469;451324;10194;162951;15333;9768
24-01-2021 00:00;636190;456491;10469;169230;11721;5167
25-01-2021 00:00;643113;461757;10721;170635;6923;5266
26-01-2021 00:00;653878;475485;11012;167381;10765;13728
27-01-2021 00:00;668951;484753;11305;172893;15073;9268
28-01-2021 00:00;685383;493699;11608;180076;16432;8946
29-01-2021 00:00;698583;504886;11886;181811;13200;11187
30-01-2021 00:00;711018;518900;12179;179939;12435;14014
31-01-2021 00:00;720516;526411;12482;181623;9498;7511
01-02-2021 00:00;726321;534384;12757;179180;5805;7973
02-02-2021 00:00;731861;551956;13017;166888;5540;17572
03-02-2021 00:00;740944;563174;13257;164513;9083;11218
04-02-2021 00:00;748858;573934;13482;161442;7914;10760
05-02-2021 00:00;755774;585276;13740;156758;6916;11342
06-02-2021 00:00;761906;599593;13954;148359;6132;14317
7-2-21 0:00;765414;606166;14158;145090;3508;6573
